C:\Users\User\Desktop\Fax\Vještačka inteligencija\Projekat>train_model_v2.bat
ℹ Saving to output directory: BS-Model
ℹ Using GPU: 0

=========================== Initializing pipeline ===========================
✔ Initialized pipeline

============================= Training pipeline =============================
ℹ Pipeline: ['tagger', 'ner', 'morphologizer', 'parser', 'lemmatizer',
'senter', 'attribute_ruler']
ℹ Initial learn rate: 0.0
E    #       LOSS TAGGER  LOSS NER  LOSS MORPH...  LOSS PARSER  LOSS SENTER  TAG_ACC  POS_ACC  ENTS_F  ENTS_P  ENTS_R  MORPH_ACC  DEP_UAS  DEP_LAS  SENTS_P  SENTS_R  SENTS_F  LEMMA_ACC  SCORE 
---  ------  -----------  --------  -------------  -----------  -----------  -------  -------  ------  ------  ------  ---------  -------  -------  -------  -------  -------  ---------  ------
C:\Users\User\AppData\Roaming\Python\Python312\site-packages\spacy\pipeline\attributeruler.py:137: UserWarning: [W036] The component 'matcher' does not have any patterns defined.
  matches = self.matcher(doc, allow_missing=True, as_spans=False)
  4    6400     70908.14  10250.48       71427.36    147043.70       425.53    82.07    92.78   63.09   64.85   61.43      82.83    75.23    66.56    88.95    91.48    90.20      80.91    0.79
  4    6600     73247.18  10260.17       73416.76    151679.84       489.10    82.38    92.91   63.35   65.47   61.36      83.10    75.22    66.70    88.05    91.05    89.52      80.91    0.79
  4    6800     67582.18   9667.03       68055.37    140730.17       440.59    82.63    92.99   63.37   64.69   62.10      83.34    75.53    67.02    86.81    90.46    88.60      80.91    0.79
  4    7000     69096.95  10052.16       69604.51    145363.09       435.22    82.81    93.11   63.59   65.04   62.20      83.56    75.88    67.50    89.47    91.88    90.66      80.91    0.80
  5    7200     65031.88   9414.08       65529.01    138251.81       458.35    83.02    93.18   63.78   65.13   62.48      83.77    75.95    67.56    89.84    91.99    90.90      80.91    0.80
  5    7400     65829.38   9604.08       66487.81    140318.66       430.84    83.21    93.27   63.98   65.49   62.54      83.96    76.16    67.85    89.08    91.62    90.33      80.91    0.80
  5    7600     67960.60  10001.10       68508.02    143514.09       429.19    83.41    93.36   64.24   66.11   62.48      84.14    76.19    67.96    91.12    92.61    91.86      80.91    0.80
  5    7800     65036.66   9588.41       65564.74    140720.66       397.84    83.60    93.43   64.41   65.97   62.92      84.31    76.37    68.19    90.63    92.40    91.51      80.91    0.80
  5    8000     63508.74   9121.87       63967.06    136376.36       453.04    83.79    93.49   64.62   66.32   63.00      84.46    76.36    68.18    90.17    92.27    91.21      80.91    0.80
  5    8200     63806.09   9235.63       64121.31    138155.67       464.02    83.95    93.58   64.59   66.31   62.96      84.62    76.44    68.29    91.22    92.74    91.98      80.91    0.80
  5    8400     65446.00   9696.82       65846.83    141999.47       506.69    84.14    93.64   64.71   66.39   63.12      84.80    76.83    68.71    89.95    92.08    91.00      80.91    0.80
  5    8600     64001.04   9635.69       64618.59    138776.62       452.71    84.26    93.72   64.64   66.43   62.94      84.91    76.76    68.67    90.39    92.31    91.34      80.91    0.81
  6    8800     62963.41   9468.82       63500.94    136633.11       429.49    84.41    93.77   64.59   66.19   63.07      85.02    76.97    68.89    90.87    92.53    91.69      80.91    0.81
  6    9000     62284.69   9342.04       62698.12    137031.78       441.21    84.54    93.82   64.91   66.44   63.46      85.16    77.13    69.09    91.67    92.97    92.32      80.91    0.81
  6    9200     61692.89   9099.31       62381.97    135099.22       390.21    84.64    93.87   65.15   66.54   63.82      85.28    77.24    69.22    91.48    92.84    92.15      80.91    0.81
  6    9400     60729.53   9190.48       61256.89    132877.23       521.29    84.77    93.92   65.11   66.50   63.79      85.40    77.18    69.21    91.16    92.70    91.92      80.91    0.81
  6    9600     60242.62   9405.85       60877.15    133402.45       424.02    84.86    93.97   65.40   67.00   63.87      85.50    77.32    69.39    91.65    92.94    92.29      80.91    0.81
  6    9800     59585.77   8994.35       60043.71    132344.48       440.72    84.96    94.01   65.51   67.08   64.01      85.59    77.40    69.51    89.22    91.75    90.47      80.91    0.81
  6   10000     58832.58   9086.00       59627.84    130820.76       482.31    85.06    94.04   65.57   67.23   64.00      85.69    77.45    69.62    89.18    91.73    90.44      80.91    0.81
  7   10200     59814.38   9151.43       60562.92    134433.45       463.32    85.17    94.09   65.69   67.15   64.29      85.79    77.66    69.76    89.41    91.83    90.60      80.91    0.81
  7   10400     59368.41   9205.78       59750.69    131810.22       401.98    85.25    94.13   65.63   67.20   64.13      85.86    77.69    69.84    91.25    92.74    91.99      80.91    0.81
  7   10600     59267.17   9003.08       59843.32    131710.86       470.82    85.33    94.16   65.78   67.31   64.32      85.95    77.81    69.97    91.74    92.95    92.34      80.91    0.81
  7   10800     59307.23   9195.47       59971.04    132752.95       448.15    85.41    94.21   65.87   67.46   64.34      86.04    77.76    69.96    90.67    92.46    91.56      80.91    0.81
  7   11000     56857.78   8755.81       57570.06    128563.73       433.68    85.49    94.25   65.97   67.66   64.38      86.15    77.82    70.08    90.66    92.49    91.57      80.91    0.81
  7   11200     59393.14   9250.24       59939.96    132965.47       381.03    85.56    94.28   65.93   67.12   64.78      86.19    77.94    70.17    91.79    93.05    92.42      80.91    0.82
  7   11400     58335.51   9028.92       58869.61    130895.59       432.62    85.64    94.30   66.10   67.69   64.58      86.26    78.11    70.37    90.87    92.55    91.71      80.91    0.81
  8   11600     57438.33   8884.98       57920.57    129556.68       457.08    85.71    94.33   66.14   67.62   64.73      86.33    78.13    70.41    90.38    92.34    91.35      80.91    0.81
  8   11800     57096.17   8966.70       57714.04    128832.88       453.39    85.77    94.37   66.26   67.84   64.76      86.39    78.21    70.50    90.13    92.25    91.18      80.91    0.81
  8   12000     57378.88   9103.02       57958.02    129808.19       444.44    85.83    94.39   66.37   67.63   65.15      86.47    78.22    70.55    90.76    92.55    91.64      80.91    0.82
